Zeit;Kanal A
(ms);(mV)

-21.18833248;0.93996060
-21.18333248;-1.12819900
-21.17833248;-0.93996060
-21.17333248;-0.18762300
-21.16833248;-0.56409940
-21.16333248;-0.75233760
-21.15833248;-1.31643700
-21.15333248;-1.12819900
-21.14833248;-1.88053600
-21.14333248;-1.69291300
-21.13833248;-1.69291300
-21.13333248;-2.63348900
-21.12833248;-1.88053600
-21.12333248;-2.25701300
-21.11833248;-2.25701300
-21.11333248;-2.63348900
-21.10833248;-2.06877400
-21.10333248;-2.82111200
-21.09833248;-2.25701300
-21.09333248;-2.63348900
-21.08833248;-2.25701300
-21.08333248;-2.44525100
-21.07833248;-2.63348900
-21.07333248;-2.25701300
-21.06833248;-2.63348900
-21.06333248;-2.82111200
-21.05833248;-2.25701300
-21.05333248;-2.63348900
-21.04833249;-2.44525100
-21.04333249;-2.63348900
-21.03833249;-3.57345000
-21.03333249;-3.00935000
-21.02833249;-2.63348900
-21.02333249;-2.82111200
-21.01833249;-2.82111200
-21.01333249;-2.82111200
-21.00833249;-2.63348900
-21.00333249;-2.63348900
-20.99833249;-2.63348900
-20.99333249;-2.06877400
-20.98833249;-2.82111200
-20.98333249;-2.82111200
-20.97833249;-2.25701300
-20.97333249;-1.69291300
-20.96833249;-1.88053600
-20.96333249;-2.06877400
-20.95833249;-1.69291300
-20.95333249;-2.63348900
-20.94833249;-2.06877400
-20.94333249;-2.82111200
-20.93833249;-2.82111200
-20.93333249;-3.00935000
-20.92833249;-3.00935000
-20.92333249;-3.19758800
-20.91833249;-3.00935000
-20.91333249;-3.19758800
-20.90833249;-3.38582700
-20.90333249;-2.82111200
-20.89833249;-3.19758800
-20.89333249;-3.19758800
-20.88833249;-3.57345000
-20.88333249;-2.25701300
-20.87833249;-3.57345000
-20.87333249;-3.57345000
-20.86833249;-2.06877400
-20.86333249;-2.63348900
-20.85833249;-3.19758800
-20.85333249;-2.63348900
-20.84833249;-3.19758800
-20.84333249;-2.63348900
-20.83833249;-3.19758800
-20.83333249;-3.19758800
-20.82833249;-3.38582700
-20.82333249;-2.82111200
-20.81833249;-3.00935000
-20.81333249;-3.38582700
-20.80833249;-3.00935000
-20.80333249;-3.19758800
-20.79833249;-3.00935000
-20.79333249;-3.19758800
-20.78833249;-3.19758800
-20.78333249;-3.76168800
-20.77833249;-3.00935000
-20.77333249;-2.06877400
-20.76833249;-2.44525100
-20.76333249;-3.00935000
-20.75833249;-4.13816400
-20.75333249;-3.94992600
-20.74833249;-3.38582700
-20.74333249;-3.57345000
-20.73833249;-3.19758800
-20.73333249;-3.76168800
-20.72833249;-3.38582700
-20.72333249;-3.57345000
-20.71833249;-3.38582700
-20.71333249;-3.57345000
-20.70833249;-3.19758800
-20.70333249;-4.70226400
-20.69833249;-3.38582700
-20.69333249;-3.19758800
-20.68833249;-3.00935000
-20.68333249;-3.19758800
-20.67833249;-3.19758800
-20.67333249;-3.19758800
-20.66833249;-3.19758800
-20.66333249;-2.63348900
-20.65833249;-2.63348900
-20.65333250;-3.19758800
-20.64833250;-3.38582700
-20.64333250;-3.94992600
-20.63833250;-3.57345000
-20.63333250;-3.00935000
-20.62833250;-3.19758800
-20.62333250;-3.38582700
-20.61833250;-4.51402500
-20.61333250;-3.94992600
-20.60833250;-3.00935000
-20.60333250;-3.19758800
-20.59833250;-3.57345000
-20.59333250;-3.76168800
-20.58833250;-3.76168800
-20.58333250;-3.19758800
-20.57833250;-3.38582700
-20.57333250;-3.00935000
-20.56833250;-3.19758800
-20.56333250;-3.57345000
-20.55833250;-3.00935000
-20.55333250;-3.94992600
-20.54833250;-3.57345000
-20.54333250;-3.57345000
-20.53833250;-3.57345000
-20.53333250;-3.00935000
-20.52833250;-3.19758800
-20.52333250;-3.57345000
-20.51833250;-3.38582700
-20.51333250;-3.57345000
-20.50833250;-3.57345000
-20.50333250;-3.57345000
-20.49833250;-3.19758800
-20.49333250;-3.00935000
-20.48833250;-3.19758800
-20.48333250;-3.00935000
-20.47833250;-2.82111200
-20.47333250;-3.00935000
-20.46833250;-3.57345000
-20.46333250;-3.00935000
-20.45833250;-2.06877400
-20.45333250;-2.63348900
-20.44833250;-3.19758800
-20.44333250;-2.44525100
-20.43833250;-3.38582700
-20.43333250;-3.00935000
-20.42833250;-3.00935000
-20.42333250;-3.00935000
-20.41833250;-3.19758800
-20.41333250;-3.19758800
-20.40833250;-3.57345000
-20.40333250;-3.57345000
-20.39833250;-3.19758800
-20.39333250;-3.00935000
-20.38833250;-3.57345000
-20.38333250;-3.00935000
-20.37833250;-4.70226400
-20.37333250;-2.25701300
-20.36833250;-2.63348900
-20.36333250;-3.00935000
-20.35833250;-2.06877400
-20.35333250;-2.63348900
-20.34833250;-2.63348900
-20.34333250;-2.82111200
-20.33833250;-2.63348900
-20.33333250;-2.63348900
-20.32833250;-3.19758800
-20.32333250;-2.25701300
-20.31833250;-2.63348900
-20.31333250;-2.06877400
-20.30833250;-3.00935000
-20.30333250;-2.63348900
-20.29833250;-2.63348900
-20.29333250;-2.63348900
-20.28833250;-2.63348900
-20.28333250;-2.44525100
-20.27833250;-2.63348900
-20.27333250;-2.63348900
-20.26833250;-2.25701300
-20.26333250;-2.44525100
-20.25833251;-2.82111200
-20.25333251;-2.44525100
-20.24833251;-2.44525100
-20.24333251;-2.06877400
-20.23833251;-2.06877400
-20.23333251;-2.06877400
-20.22833251;-2.63348900
-20.22333251;-2.63348900
-20.21833251;-2.06877400
-20.21333251;-1.88053600
-20.20833251;-2.06877400
-20.20333251;-1.50467500
-20.19833251;-2.25701300
-20.19333251;-1.12819900
-20.18833251;-2.63348900
-20.18333251;-1.88053600
-20.17833251;-2.25701300
-20.17333251;-2.63348900
-20.16833251;-2.25701300
-20.16333251;-2.25701300
-20.15833251;-2.63348900
-20.15333251;-1.88053600
-20.14833251;-2.06877400
-20.14333251;-1.69291300
-20.13833251;-2.06877400
-20.13333251;-1.31643700
-20.12833251;-1.69291300
-20.12333251;-1.31643700
-20.11833251;-1.88053600
-20.11333251;-1.31643700
-20.10833251;-1.31643700
-20.10333251;-0.75233760
-20.09833251;-0.93996060
-20.09333251;-1.31643700
-20.08833251;-1.12819900
-20.08333251;-0.93996060
-20.07833251;-1.12819900
-20.07333251;-0.75233760
-20.06833251;-1.31643700
-20.06333251;-1.12819900
-20.05833251;-1.12819900
-20.05333251;-1.31643700
-20.04833251;-0.75233760
-20.04333251;-1.31643700
-20.03833251;-0.93996060
-20.03333251;-0.93996060
-20.02833251;-0.75233760
-20.02333251;-0.75233760
-20.01833251;0.00000000
-20.01333251;-0.75233760
-20.00833251;-0.18762300
-20.00333251;-0.18762300
-19.99833251;-0.37586120
-19.99333251;-0.18762300
-19.98833251;-1.31643700
-19.98333251;0.00000000
-19.97833251;0.18762300
-19.97333251;0.00000000
-19.96833251;0.56409940
-19.96333251;1.12819900
-19.95833251;0.93996060
-19.95333251;1.12819900
-19.94833251;1.50467500
-19.94333251;2.44525100
-19.93833251;2.44525100
-19.93333251;2.82111200
-19.92833251;3.00935000
-19.92333251;2.63348900
-19.91833251;3.38582700
-19.91333251;3.38582700
-19.90833251;4.32640200
-19.90333251;4.13816400
-19.89833251;4.89050100
-19.89333251;4.70226400
-19.88833251;5.45460100
-19.88333251;6.01931600
-19.87833251;5.64283900
-19.87333251;6.20755400
